Pair ID,Clone Type,GPT-4o,Jdeodorant
960-1-3,Type-2,1,1
960-1-4,Type-2,1,1
960-1-5,Type-2,1,1
960-1-6,Type-2,1,1
960-1-7,Type-2,1,1
960-2-3,Type-2,1,1
960-2-4,Type-2,1,1
960-2-5,Type-2,1,1
960-2-6,Type-2,1,1
960-2-7,Type-2,1,1
960-3-4,Type-2,1,1
960-3-5,Type-2,1,1
960-3-6,Type-2,1,1
960-3-7,Type-2,1,1
960-4-5,Type-2,1,1
960-4-6,Type-2,1,1
960-4-7,Type-2,1,1
960-5-6,Type-3,0,1
960-5-7,Type-2,1,1
960-6-7,Type-2,1,1
981-1-3,Type-2,1,1
981-1-5,Type-3,0,1
981-2-4,Type-2,1,1
981-3-4,Type-2,1,1
1008-1-2,Type-2,1,1
1008-1-3,Type-2,1,1
1008-1-4,Type-2,1,1
1008-1-5,Type-2,1,1
1008-1-6,Type-2,1,1
1008-2-3,Type-2,1,1
1008-2-4,Type-2,1,1
1008-2-5,Type-2,1,1
1008-2-6,Type-2,1,1
1008-3-4,Type-2,1,1
1008-3-5,Type-2,1,1
1008-3-6,Type-2,1,1
1008-4-5,Type-2,1,1
1008-4-6,Type-2,1,1
1008-5-6,Type-2,1,1
1019-1-2,Type-3,0,1
1095-1-2,Type-2,1,1
1134-1-2,Type-3,0,1
1135-1-2,Type-3,0,1
1138-1-4,Type-2,1,1
1138-1-5,Type-2,1,1
1138-2-3,Type-2,1,1
1138-2-5,Type-2,1,1
1161-1-3,Type-2,1,1
1161-1-5,Type-2,1,1
1161-1-9,Type-2,1,1
1161-1-10,Type-2,1,1
1161-3-6,Type-2,1,1
1161-3-9,Type-2,1,1
1161-5-6,Type-3,0,1
1161-5-10,Type-3,0,1
1161-6-9,Type-2,1,1
1161-6-10,Type-2,1,1
1172-1-4,Type-1,0,1
1172-2-3,Type-1,0,1
1201-1-2,Type-2,1,1
1210-1-2,Type-2,1,1
1210-2-3,Type-2,1,1
1242-1-2,Type-3,0,1
1249-1-2,Type-2,1,1
1250-1-3,Type-2,1,1
1250-1-5,Type-2,1,1
1250-1-7,Type-4,0,1
1254-1-5,Type-2,1,1
1254-1-6,Type-2,1,1
1254-1-7,Type-2,1,1
1254-2-5,Type-2,1,1
1254-2-6,Type-2,1,1
1254-2-7,Type-2,1,1
1254-3-5,Type-2,1,1
1254-3-6,Type-3,0,1
1254-3-7,Type-2,1,1
1254-4-5,Type-3,0,1
1254-4-6,Type-2,1,1
1254-4-7,Type-2,1,1
1267-1-2,Type-1,0,1
1267-1-3,Type-2,1,1
1267-1-4,Type-2,1,1
1267-1-5,Type-2,1,1
1267-1-6,Type-3,0,1
1270-1-3,Type-3,0,1
1270-1-4,Type-2,1,1
1270-2-3,Type-3,0,1
1270-2-4,Type-3,0,1
1295-1-3,Type-2,1,1
1295-1-4,Type-2,1,1
1295-2-3,Type-2,1,1
1301-1-2,Type-3,0,1
1301-1-3,Type-3,0,1
1301-1-4,Type-2,1,1
1301-2-3,Type-2,1,1
1301-2-4,Type-2,1,1
1324-1-2,Type-1,0,1
1377-1-2,Type-2,1,1
1408-1-2,Type-2,1,1
1408-1-3,Type-3,0,1
1435-1-2,Type-2,1,1
1435-1-4,Type-2,1,1
1435-2-3,Type-2,1,1
1435-3-4,Type-2,1,1
1464-1-2,Type-2,1,1
1464-1-3,Type-2,1,1
1464-1-4,Type-3,0,1
1464-1-5,Type-2,1,1
1464-1-6,Type-2,1,1
1464-1-8,Type-2,1,1
1464-2-3,Type-2,1,1
1464-2-4,Type-2,1,1
1464-2-5,Type-2,1,1
1464-2-6,Type-2,1,1
1464-2-8,Type-2,1,1
1464-3-4,Type-2,1,1
1464-3-5,Type-2,1,1
1464-3-6,Type-2,1,1
1464-3-8,Type-2,1,1
1464-4-5,Type-2,1,1
1464-4-6,Type-2,1,1
1464-4-8,Type-2,1,1
1464-5-6,Type-2,1,1
1464-5-8,Type-2,1,1
1464-6-8,Type-2,1,1
1527-1-2,Type-2,1,1
1539-1-2,Type-1,0,1
1559-1-2,Type-3,0,1
1559-1-3,Type-3,0,1
1559-1-4,Type-3,0,1
1575-1-2,Type-3,0,1
1643-1-2,Type-3,0,1
1750-1-2,Type-2,1,1
1750-1-3,Type-2,1,1
1750-1-4,Type-2,1,1
1750-2-3,Type-2,1,1
1750-2-4,Type-2,1,1
1750-3-4,Type-2,1,1
1767-1-2,Type-2,1,1
1767-1-3,Type-2,1,1
1767-2-3,Type-2,1,1
1785-2-3,Type-2,1,1
1785-2-4,Type-2,1,1
1785-2-5,Type-2,1,1
1786-1-3,Type-2,1,1
1786-1-4,Type-2,1,1
1786-2-3,Type-2,1,1
1807-1-2,Type-2,1,1
88-1-2,Type-3,0,1
106-1-2,Type-3,0,1
157-1-2,Type-3,0,1
242-2-5,Type-3,0,1
274-1-5,Type-3,0,1
274-4-5,Type-3,0,1
292-1-3,Type-3,0,1
292-1-4,Type-3,0,1
292-1-5,Type-3,0,1
292-6-7,Type-3,0,1
292-7-9,Type-3,0,1
297-1-2,Type-2,1,1
297-1-5,Type-3,0,1
297-2-5,Type-3,0,1
304-1-2,Type-3,0,1
307-1-2,Type-3,0,1
308-2-5,Type-3,0,1
308-3-4,Type-3,0,1
322-2-3,Type-3,0,1
322-3-4,Type-3,0,1
322-3-5,Type-3,0,1
342-1-3,Type-3,0,1
342-1-4,Type-3,0,1
342-1-5,Type-3,0,1
342-1-6,Type-3,0,1
342-1-11,Type-3,0,1
342-2-5,Type-3,0,1
