Pair ID,Clone Type,GPT-4o,JDeodorant
749-1-2,Type-2,1,1
750-1-2,Type-2,1,1
754-2-3,Type-3,0,1
761-2-3,Type-2,1,1
763-1-2,Type-2,1,1
771-1-2,Type-3,0,1
773-1-2,Type-3,0,1
774-1-2,Type-2,1,1
775-1-2,Type-2,1,1
778-1-2,Type-3,0,1
779-1-2,Type-3,0,1
797-1-2,Type-2,1,1
797-3-4,Type-3,0,1
827-1-2,Type-2,1,1
830-1-2,Type-3,0,1
836-1-2,Type-2,1,1
850-1-2,Type-2,1,1
852-2-3,Type-2,1,1
865-1-2,Type-3,0,1
865-3-4,Type-3,0,1
868-2-3,Type-3,0,1
872-1-2,Type-2,1,1
872-1-3,Type-2,1,1
872-1-4,Type-2,1,1
872-2-3,Type-2,1,1
872-2-4,Type-2,1,1
872-3-4,Type-2,1,1
884-2-3,Type-2,1,1
893-1-2,Type-2,1,1
901-1-2,Type-2,1,1
904-1-2,Type-3,0,1
904-1-3,Type-3,0,1
904-1-4,Type-2,1,1
904-1-5,Type-2,1,1
904-1-6,Type-2,1,1
904-1-7,Type-2,1,1
904-2-3,Type-2,1,1
904-2-4,Type-2,1,1
904-2-5,Type-2,1,1
904-2-6,Type-2,1,1
904-2-7,Type-3,0,1
904-3-4,Type-2,1,1
904-3-5,Type-2,1,1
904-3-6,Type-2,1,1
904-3-7,Type-2,1,1
915-1-2,Type-2,1,1
925-1-2,Type-3,0,1
926-1-2,Type-3,0,1
926-3-4,Type-3,0,1
932-1-2,Type-2,1,1
934-1-2,Type-3,0,1
934-1-3,Type-3,0,1
934-1-4,Type-2,1,1
934-2-3,Type-2,1,1
934-2-4,Type-3,0,1
934-3-4,Type-3,0,1
943-1-2,Type-2,1,1
947-1-2,Type-3,0,1
947-1-3,Type-2,1,1
947-1-4,Type-3,0,1
947-2-3,Type-2,1,1
947-2-4,Type-2,1,1
947-3-4,Type-3,0,1
952-1-2,Type-2,1,1
953-1-2,Type-3,0,1
961-1-2,Type-3,0,1
961-1-3,Type-3,0,1
961-2-3,Type-3,0,1
965-2-3,Type-2,1,1
966-1-2,Type-3,0,1
973-1-2,Type-3,0,1
1009-1-2,Type-2,1,1
1010-1-2,Type-2,1,1
1010-3-4,Type-2,1,1
1010-5-6,Type-2,1,1
1012-1-2,Type-2,1,1
1023-1-2,Type-2,1,1
1023-3-4,Type-2,1,1
1035-2-3,Type-2,1,1
1036-1-2,Type-2,1,1
1037-1-2,Type-2,1,1
1039-1-2,Type-3,0,1
1039-1-3,Type-3,0,1
1039-2-3,Type-3,0,1
1039-5-6,Type-3,0,1
1039-5-7,Type-2,1,1
1039-5-8,Type-3,0,1
1039-6-7,Type-3,0,1
1039-6-8,Type-3,0,1
1039-7-8,Type-3,0,1
1040-1-2,Type-3,0,1
1042-1-2,Type-3,0,1
1043-1-2,Type-2,1,1
1051-1-2,Type-3,0,1
1052-1-2,Type-3,0,1
1055-1-2,Type-3,0,1
1057-1-2,Type-2,1,1
1057-1-3,Type-2,1,1
1057-1-4,Type-2,1,1
1057-1-5,Type-2,1,1
1057-1-6,Type-3,0,1
1057-1-7,Type-3,0,1
1057-1-8,Type-3,0,1
1057-1-9,Type-3,0,1
1057-1-10,Type-2,1,1
1057-1-11,Type-2,1,1
1057-1-12,Type-3,0,1
1057-2-3,Type-2,1,1
1057-2-4,Type-2,1,1
1057-2-5,Type-3,0,1
1057-2-6,Type-3,0,1
1057-2-7,Type-2,1,1
1057-2-8,Type-3,0,1
1057-2-9,Type-2,1,1
1057-2-10,Type-3,0,1
1057-2-11,Type-2,1,1
1057-2-12,Type-2,1,1
1057-3-4,Type-2,1,1
1057-3-5,Type-2,1,1
1057-3-6,Type-3,0,1
1057-3-7,Type-3,0,1
1057-3-8,Type-3,0,1
1057-3-9,Type-3,0,1
1057-3-10,Type-2,1,1
1057-3-11,Type-2,1,1
1057-3-12,Type-3,0,1
1057-4-5,Type-3,0,1
1057-4-6,Type-3,0,1
1057-4-7,Type-2,1,1
1057-4-8,Type-3,0,1
1057-4-9,Type-2,1,1
1057-4-10,Type-3,0,1
1057-4-11,Type-3,0,1
1057-4-12,Type-2,1,1
1057-5-6,Type-2,1,1
1057-5-7,Type-3,0,1
1057-5-8,Type-2,1,1
1057-5-9,Type-2,1,1
1057-5-10,Type-3,0,1
1057-5-11,Type-3,0,1
1057-5-12,Type-2,1,1
1057-6-7,Type-3,0,1
1057-6-8,Type-2,1,1
1057-6-9,Type-2,1,1
1057-6-10,Type-3,0,1
1057-6-11,Type-2,1,1
1057-6-12,Type-3,0,1
1057-7-8,Type-2,1,1
1057-7-9,Type-3,0,1
1057-7-10,Type-2,1,1
1057-7-11,Type-2,1,1
1057-7-12,Type-3,0,1
1057-8-9,Type-2,1,1
1057-8-10,Type-3,0,1
1057-8-11,Type-3,0,1
1057-8-12,Type-3,0,1
1057-9-10,Type-3,0,1
1057-9-11,Type-3,0,1
1057-9-12,Type-3,0,1
1057-10-11,Type-2,1,1
1057-10-12,Type-2,1,1
1057-11-12,Type-2,1,1
1067-1-2,Type-2,1,1
1069-1-2,Type-2,1,1
1091-1-2,Type-3,0,1
1091-2-3,Type-3,0,1
1100-1-2,Type-3,0,1
1100-1-3,Type-3,0,1
1100-1-4,Type-3,0,1
1100-2-3,Type-3,0,1
1100-2-4,Type-3,0,1
1100-3-4,Type-3,0,1
1108-1-2,Type-2,1,1
1114-1-2,Type-3,0,1
1115-1-2,Type-3,0,1
1119-1-2,Type-2,1,1
1119-1-3,Type-2,1,1
1119-1-4,Type-2,1,1
1119-2-3,Type-2,1,1
1119-2-4,Type-2,1,1
1119-3-4,Type-2,1,1
1119-5-6,Type-2,1,1
1119-5-7,Type-2,1,1
1119-5-8,Type-2,1,1
1119-6-7,Type-2,1,1
1119-6-8,Type-2,1,1
1119-7-8,Type-2,1,1
1121-1-2,Type-3,0,1
1131-1-2,Type-3,0,1
1142-1-2,Type-3,0,1
1143-1-2,Type-2,1,1
