Pair ID,Clone Type,GPT-4o,Jdeodorant
305-2-4,Type-3,1,1
305-3-4,Type-3,1,1
305-4-5,Type-3,1,1
307-1-4,Type-3,1,1
307-1-5,Type-3,1,1
308-1-2,Type-3,1,1
308-1-3,Type-3,1,1
308-1-4,Type-3,1,1
308-1-5,Type-3,1,1
308-1-6,Type-3,1,1
308-2-3,Type-3,1,1
308-2-4,Type-3,1,1
308-2-6,Type-2,0,1
308-3-5,Type-3,1,1
308-4-5,Type-3,1,1
308-5-6,Type-3,1,1
332-1-3,Type-3,1,1
332-2-3,Type-3,1,1
342-1-2,Type-3,1,1
342-1-7,Type-3,1,1
342-1-8,Type-3,1,1
342-1-9,Type-3,1,1
342-1-10,Type-3,1,1
342-1-12,Type-3,1,1
342-1-13,Type-3,1,1
342-1-14,Type-3,1,1
342-2-3,Type-3,1,1
342-2-10,Type-3,1,1
342-2-11,Type-3,1,1
342-3-4,Type-3,1,1
342-3-5,Type-3,1,1
342-3-6,Type-3,1,1
342-3-7,Type-3,1,1
342-3-8,Type-3,1,1
342-3-9,Type-3,1,1
342-3-10,Type-3,1,1
342-3-12,Type-3,1,1
342-3-13,Type-3,1,1
342-3-14,Type-3,1,1
342-4-10,Type-3,1,1
342-4-12,Type-3,1,1
342-5-10,Type-3,1,1
342-5-12,Type-3,1,1
342-6-10,Type-3,1,1
342-6-12,Type-3,1,1
342-7-10,Type-3,1,1
342-7-11,Type-3,1,1
342-8-10,Type-3,1,1
342-8-11,Type-3,1,1
342-9-10,Type-3,1,1
342-9-11,Type-3,1,1
342-9-13,Type-3,1,1
342-10-11,Type-3,1,1
342-10-13,Type-3,1,1
342-10-14,Type-3,1,1
342-11-12,Type-3,1,1
342-11-13,Type-3,1,1
342-11-14,Type-3,1,1
342-12-13,Type-2,0,1
349-1-2,Type-3,1,1
349-1-3,Type-3,1,1
356-1-2,Type-3,1,1
371-1-2,Type-3,1,1
371-2-4,Type-3,1,1
372-1-4,Type-3,1,1
372-2-4,Type-3,1,1
372-2-5,Type-3,1,1
402-1-2,Type-3,1,1
402-1-6,Type-3,1,1
402-2-3,Type-3,1,1
402-2-4,Type-3,1,1
402-2-5,Type-3,1,1
402-3-5,Type-4,0,1
402-3-6,Type-3,1,1
402-4-5,Type-3,1,1
402-4-6,Type-3,1,1
426-1-2,Type-3,1,1
453-1-2,Type-3,1,1
453-1-3,Type-3,1,1
453-1-4,Type-3,1,1
453-1-5,Type-3,1,1
453-1-6,Type-3,1,1
453-1-7,Type-3,1,1
453-2-4,Type-3,1,1
453-3-4,Type-3,1,1
453-4-5,Type-3,1,1
