Pair ID,Clone Type,GPT-4o,Jdeodorant
1267-2-6,Type-2,1,1
1267-3-4,Type-2,1,1
1267-4-5,Type-3,0,1
1267-4-6,Type-3,0,1
1270-3-4,Type-1,0,1
1283-1-2,Type-3,0,1
1283-3-4,Type-3,0,1
1294-2-3,Type-2,1,1
1295-1-2,Type-2,1,1
1295-3-4,Type-1,0,1
1299-1-2,Type-3,0,1
1301-3-4,Type-2,1,1
1302-1-2,Type-2,1,1
1303-1-2,Type-2,1,1
1359-1-2,Type-2,1,1
1383-1-2,Type-2,1,1
1419-1-2,Type-2,1,1
1471-1-2,Type-2,1,1
1471-1-3,Type-2,1,1
1471-1-4,Type-2,1,1
1471-2-3,Type-2,1,1
1471-2-4,Type-2,1,1
1471-3-4,Type-2,1,1
1540-1-2,Type-3,0,1
1551-1-2,Type-2,1,1
1559-2-3,Type-2,1,1
1559-2-4,Type-2,1,1
1559-2-5,Type-2,1,1
1559-2-6,Type-2,1,1
1559-2-7,Type-2,1,1
1559-2-8,Type-2,1,1
1559-2-9,Type-2,1,1
1559-2-10,Type-3,0,1
1559-3-10,Type-3,0,1
1559-4-10,Type-3,0,1
1559-5-10,Type-3,0,1
1559-6-10,Type-3,0,1
1559-7-10,Type-3,0,1
1559-8-10,Type-3,0,1
1559-9-10,Type-3,0,1
1561-1-2,Type-2,1,1
1635-1-2,Type-3,0,1
1645-1-2,Type-2,1,1
1728-1-2,Type-2,1,1
1763-1-2,Type-2,1,1
1785-3-4,Type-2,1,1
1785-3-5,Type-2,1,1
1785-4-5,Type-2,1,1
1813-1-2,Type-2,1,1
1815-1-2,Type-2,1,1
1815-3-4,Type-1,0,1
1812-2-3,Type-2,1,1
1812-2-4,Type-2,1,1
1812-3-4,Type-2,1,1
